candidate_id,source_run_id,hardware_id,threads,cold_or_warm,wall_ms,cpu_ms,peak_rss_bytes,proof_bytes,native_verify_ms,success,artifact_path,artifact_sha256
C10-fri,research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,265.85141699999997,,16891904,484577,4.435125,true,research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json,c0c7213e94b80eb267ae62ecaf24e3690cac7dd7edb5346049d8164136070256
C10-fri,research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r1,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,325.039875,,29917184,482721,7.249208,true,research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r1.json,ae84a5015d9969eb79ddd5f54aff498a9cbc13e4cad1b76c072354d2586b1cbe
C10-fri,research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,895.798334,,27836416,195233,2.2140419999999996,true,research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r0.json,64991e93b66d2d9ad3bc9583721a70460e186c6d6f98196f4c8b2458746908d2
C10-fri,research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r1,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,505.12608299999994,,49250304,195297,2.281083,true,research/runs/research-sp50-c10-fri-b4-q32-c16x16-f0-r4-r1.json,b847a6c1b674b3c207cca4c4b57d5981f320ea117b3715a1f663b41333248f25
C10-fri,research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,516.230833,,26771456,270305,2.7955419999999997,true,research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r0.json,1990c5973efbd38678c72ff18f6aa2104a474483a9f3fcfba615e299ac5dfc8f
C10-fri,research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r1,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,475.069041,,41598976,273825,2.7544589999999998,true,research/runs/research-sp50-c10-fri-b4-q48-c16x16-f0-r4-r1.json,5129baf80237d2e82138b69540083099dc89d8b015fcc25c867ba1d53c339aed
C20,research-sp51-c20-native-r0,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,5.625791,,6389760,36815,1.127083,true,research/runs/research-sp51-c20-native-r0.json,27ac00caee1ca7cdb5b8643ade135997c1d2fc8c32bd4903fa8d402212afd352
C20,research-sp51-c20-native-r1,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,5.499083,,6389760,36719,1.13925,true,research/runs/research-sp51-c20-native-r1.json,3513e6ef60f1ce7a402a7e99105cee3b15946e5d234696b6716fc37f55c6fee2
C30,research-sp52-c30-native,H1-MAC16-5-M4MAX-48G,16,NOT_APPLICABLE,10.686458,,8962048,17407,0.522167,true,research/runs/research-sp52-c30-native.json,f504cf75a74f6c9b89e29af7bb8338a25cb4912ff4cd947259344398eb1e3533
C00/v03-baseline,v03-corpus-01,macnch33z3.local-arm64,16,WARM,601.7720000236295,,29769728,212332,2.1607499999999997,true,research/runs/v03-corpus-01.json,7de3a5a3b01e09ec06e9394ff4e46c9f5a3ca1adbec619a81f236c8f7561b69f
C00/v03-baseline,v03-corpus-02,macnch33z3.local-arm64,16,WARM,824.8314580123406,,29933568,202412,2.17275,true,research/runs/v03-corpus-02.json,d4fadf4db1338135df671adc937813c3db1b3bb60ca175b14e0a86a4525b0730
C00/v03-baseline,v03-corpus-03,macnch33z3.local-arm64,16,WARM,479.79350000969134,,30654464,209260,2.123125,true,research/runs/v03-corpus-03.json,518be01c67a084467baf64388d28522d77ac43d3afbf7b495abe5265b29e6842
C00/v03-baseline,v03-corpus-04,macnch33z3.local-arm64,16,WARM,767.5857080030255,,30081024,207980,2.1321660000000002,true,research/runs/v03-corpus-04.json,b28d33a08403cba3e12b14cc79e7ce339a8b2da0ee1e967827e1885a2d97efff
C00/v03-baseline,v03-corpus-05,macnch33z3.local-arm64,16,WARM,675.4227500059642,,30851072,208940,2.171958,true,research/runs/v03-corpus-05.json,a4b1be8b4a75c4b30b7d8fe1fd32018d1e73667e24a48386f0c7e70c90c2d26e
C00/v03-baseline,v03-corpus-06,macnch33z3.local-arm64,16,WARM,528.4982919984031,,28983296,213036,2.120458,true,research/runs/v03-corpus-06.json,db8017c21d6da2b6fb63b15743fe260cba3277e4433ffefa881a8d8e04161739
C00/v03-baseline,v03-corpus-07,macnch33z3.local-arm64,16,WARM,409.10966700175777,,29212672,206188,2.1450839999999998,true,research/runs/v03-corpus-07.json,7ca6aee9ab7deed9f75f4f2dae979aedf6377477199ec55e31779283e30d6e1e
C00/v03-baseline,v03-corpus-08,macnch33z3.local-arm64,16,WARM,686.4378330064937,,29376512,213804,2.22725,true,research/runs/v03-corpus-08.json,26e51065df08450e09934c115098f85a5af9f55f772b73f6772ca984a9e2f745
