candidate_id,source_run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas,artifact_path,artifact_sha256
H6,research-sp10-h6-gas,depth20ComputeOnlyInsertionGas,43326828,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,nodeGas,2162174,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,noteGas,2157766,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,nullifierGas,2157725,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,permutationGas,2144381,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,syntheticDepth20RootUpdateGas,43606974,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H6,research-sp10-h6-gas,zeroTreeConstructorGas,43986066,,,,,,,,,9309,9447,,research/runs/research-sp10-h6-gas.json,366ad79b9ba94ccc2a73fb939148830eb18f0a6ced253a99f883f126ef8b9a7c
H7,research-sp10-h7-gas,depth20ComputeOnlyInsertionGas,509474048,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,nodeGas,25469045,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,noteGas,25464321,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,nullifierGas,25464280,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,permutationGas,8479493,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,spongeGas,25454777,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,syntheticDepth20RootUpdateGas,509794211,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
H7,research-sp10-h7-gas,zeroTreeConstructorGas,510176906,,,,,,,,,9521,9547,,research/runs/research-sp10-h7-gas.json,4a73b1fe6b3775ad998c1f54692a93d0d4ed80858871bd00a81145c258823b57
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_max,13672838,,,,,,,,,4831,,17008223,research/runs/research-sp11-sp-11-foundry-gas.json,2f5a7bfd9a741fec2f4a241523fbd8ee9a0f8a47172049a142b7928f684b840d
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_median,13605885,,,,,,,,,4831,,17008223,research/runs/research-sp11-sp-11-foundry-gas.json,2f5a7bfd9a741fec2f4a241523fbd8ee9a0f8a47172049a142b7928f684b840d
SP-11,research-sp11-sp-11-foundry-gas,bounded_insert_min,13604796,,,,,,,,,4831,,17008223,research/runs/research-sp11-sp-11-foundry-gas.json,2f5a7bfd9a741fec2f4a241523fbd8ee9a0f8a47172049a142b7928f684b840d
SP-12,research-sp12-sp-12-foundry-gas,enqueue_max,143822,,,,,,,,,,,,research/runs/research-sp12-sp-12-foundry-gas.json,97e1f9b449e3d0d34e93ce8382a2aa3c619c0fce9bc2d17a45a9efcd218db3f6
SP-12,research-sp12-sp-12-foundry-gas,enqueue_median,121922,,,,,,,,,,,,research/runs/research-sp12-sp-12-foundry-gas.json,97e1f9b449e3d0d34e93ce8382a2aa3c619c0fce9bc2d17a45a9efcd218db3f6
SP-12,research-sp12-sp-12-foundry-gas,enqueue_min,121922,,,,,,,,,,,,research/runs/research-sp12-sp-12-foundry-gas.json,97e1f9b449e3d0d34e93ce8382a2aa3c619c0fce9bc2d17a45a9efcd218db3f6
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.hash_and_storage_cold_call_gas,45387,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.hash_only_call_gas,1637,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-512.storage_only_cold_call_gas,44633,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.hash_and_storage_cold_call_gas,45542,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
SP-13,research-sp13-sp-13-digest-width-gas,keccak-pair-trunc-320.hash_only_call_gas,1440,,,,,,,,,,,,research/runs/research-sp13-sp-13-digest-width-gas.json,527ce1c6636bd5ad104ef960766678bbeae84947f4598f67f06f341a0d13a4e5
