candidate_id,source_run_id,raw_proof_bytes,abi_calldata_bytes,header_bytes,statement_bytes,global_bytes,query_row_bytes,salt_bytes,frontier_bytes,ldt_bytes,final_bytes,continuation_bytes,abi_overhead_bytes,zero_bytes,nonzero_bytes,artifact_path,artifact_sha256
C00/v03-baseline,v03-corpus-20,213100,213768,,,,,,,,,,668,1408,211692,research/runs/v03-corpus-20.json,76c6552089598478ba37a7dbbf80ac3ad1fc360425ea866ebf7e0cf07f745fd7
C00/v03-baseline,v03-corpus-21,205356,206024,,,,,,,,,,668,1377,203979,research/runs/v03-corpus-21.json,c8d408faca0b1312f431ce5480337785fb6d8830059eea5e08080f8dc68e9046
C00/v03-baseline,v03-corpus-22,206372,207048,,,,,,,,,,676,1323,205049,research/runs/v03-corpus-22.json,4dd856697e041fc29e09162904b8d0b0a49622dbff95abed098dd27271c6e270
C00/v03-baseline,v03-corpus-23,206700,207368,,,,,,,,,,668,1406,205294,research/runs/v03-corpus-23.json,950365b7a5739a51b43efef2b74392d138fc6dfb0bc0a023ef914ce988fedd3e
C00/v03-baseline,v03-corpus-24,210156,210824,,,,,,,,,,668,1332,208824,research/runs/v03-corpus-24.json,f3a4abad964e8d5c290e248441b02633abcb7b61bc6e7be27b2d6f83cf165b0c
C00/v03-baseline,v03-corpus-25,210028,210696,,,,,,,,,,668,1345,208683,research/runs/v03-corpus-25.json,24069f30cb23ae61979e1aa4f79c9bdd789dbcdfd0d8479521e83e043671da90
C00/v03-baseline,v03-corpus-26,213356,214024,,,,,,,,,,668,1432,211924,research/runs/v03-corpus-26.json,74963dde6ee1696d758ca17b1a79d74cfd6a02dd3ef44755bce56230cc7f8313
C00/v03-baseline,v03-corpus-27,211244,211912,,,,,,,,,,668,1380,209864,research/runs/v03-corpus-27.json,4379f54de5b4cd38dec7e8a722624f5d6f33ae2935ff2c02e8e742ba50471521
C00/v03-baseline,v03-corpus-28,210988,211656,,,,,,,,,,668,1428,209560,research/runs/v03-corpus-28.json,01de57380b60e1221885bbb2b6194ad6c8cf04a4350e230f1a7df70e6aef2cab
C00/v03-baseline,v03-corpus-29,210796,211464,,,,,,,,,,668,1343,209453,research/runs/v03-corpus-29.json,415dd2ff830820442489a73f4b52f0ffa25853758db3bc4e9f79a73e1d2b5282
C00/v03-baseline,v03-corpus-30,212524,213192,,,,,,,,,,668,1359,211165,research/runs/v03-corpus-30.json,b4406f7f24d1993f042338104d28f1717b261a29421656eba2629b2144de3e6e
C00/v03-baseline,v03-fixed-01,212204,212872,,,,,,,,,,668,1322,210882,research/runs/v03-fixed-01.json,1ea312cd9ef70e08e85b9503bfbe58a1435a49c86da043f05bf4d27b6e824c20
C00/v03-baseline,v03-fixed-02,208364,209032,,,,,,,,,,668,1340,207024,research/runs/v03-fixed-02.json,9dbfc7e7421dd829c0174915a55b43185e00e03ee957900648937d3ab9c83d7b
C00/v03-baseline,v03-fixed-03,212268,212936,,,,,,,,,,668,1305,210963,research/runs/v03-fixed-03.json,0876bcbcc3fcc076c43a4134ea50c2e105a730564c789311eb9eaa8821036bbb
C00/v03-baseline,v03-fixed-04,212012,212680,,,,,,,,,,668,1405,210607,research/runs/v03-fixed-04.json,87535a14d7c663fa40cc6911dc324e8ca6cc7bd09592edf9f0dbc82bdfecb34f
C00/v03-baseline,v03-fixed-05,209772,210440,,,,,,,,,,668,1392,208380,research/runs/v03-fixed-05.json,ab4596678915917c38357832e24dd5cc6d0642584768e0774b28eb7a1673736e
C00/v03-baseline,v03-fixed-06,198052,198728,,,,,,,,,,676,1336,196716,research/runs/v03-fixed-06.json,26341b8a4853a0599cbd708433700aa96775c6af1cc5a3b8ac63ab88d29270c3
C00/v03-baseline,v03-fixed-07,209644,210312,,,,,,,,,,668,1331,208313,research/runs/v03-fixed-07.json,7c47efc86e42bbb953a1b714d6f9dded22cebd67512940fc179826494eabaf77
C00/v03-baseline,v03-fixed-08,207788,208456,,,,,,,,,,668,1331,206457,research/runs/v03-fixed-08.json,6b74ea09299663fb8e43c2a605983c269747aa7a86a5ddee54cc8f4e6f43d5a2
C00/v03-baseline,v03-fixed-09,207084,207752,,,,,,,,,,668,1420,205664,research/runs/v03-fixed-09.json,dec24f89ee71bab2adcec76a9ec03ea6dce3f94bbf3e58aca0a96b09f1160b96
C00/v03-baseline,v03-fixed-10,212332,213000,,,,,,,,,,668,1438,210894,research/runs/v03-fixed-10.json,15353daf0a4563485cd2200fec41ca968510e8d2777c1e0a1e45eb03a1326e72
C00/v03-baseline,v03-fixed-11,207532,208200,,,,,,,,,,668,1344,206188,research/runs/v03-fixed-11.json,c8a34facaa20d77687ee2ab2e748cf6664c206dd97c40e46b4a3d23129b14ec1
C00/v03-baseline,v03-fixed-12,209260,209928,,,,,,,,,,668,1389,207871,research/runs/v03-fixed-12.json,ffde0d1e5d8be68ae3c2af50bf9dd81c146bc3d4bc2fa16a0d78dfdb3d21086c
C00/v03-baseline,v03-fixed-13,210668,211336,,,,,,,,,,668,1406,209262,research/runs/v03-fixed-13.json,427ba7db35ec18ba4d27df429f4f20601970158446f74afa30c3b3fc5f1690f6
C00/v03-baseline,v03-fixed-14,204140,204808,,,,,,,,,,668,1325,202815,research/runs/v03-fixed-14.json,3c17054a32a2f30af359d5068f7a32a233d62b59cb4de79e276d1586bb5ccfac
C00/v03-baseline,v03-fixed-15,207788,208456,,,,,,,,,,668,1359,206429,research/runs/v03-fixed-15.json,a6c582e990d45c179104ce5f06a303f4fcdba7db244d72abb3975b957977a399
C00/v03-baseline,v03-fixed-16,210988,211656,,,,,,,,,,668,1354,209634,research/runs/v03-fixed-16.json,446c8ec9176e4a39c026ce3980898fb8dd6e37911d3c5f650619f43be648cab0
C00/v03-baseline,v03-fixed-17,207084,207752,,,,,,,,,,668,1345,205739,research/runs/v03-fixed-17.json,c8aa8fdedd27cfd5bee51e60a6b770050b354cb920a467a5a8d247dc339c4c12
C00/v03-baseline,v03-fixed-18,211692,212360,,,,,,,,,,668,1325,210367,research/runs/v03-fixed-18.json,81f0619a0715f8ff5d023aeb01b573e9cc0ff88af2a1108fb1d8cfbfcef2678d
C00/v03-baseline,v03-fixed-19,201836,202504,,,,,,,,,,668,1317,200519,research/runs/v03-fixed-19.json,4e499046a5bc835d6cb1e1ea10063b1a44e32a17c9e715c38df28f8c95bb81ea
