candidate_id,table_id,logical_rows,padded_rows,base_degree_bits,hiding_degree_bits,trace_width,preprocessed_width,constraint_count,max_degree,quotient_chunks,batched_functions,rotations,active_rows,padding_rows
C10-fri,run:research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0;artifact:research/runs/research-sp50-c10-fri-b3-q111-c16x16-f0-r4-r0.json;sha256:4efb8840303e6fc9f46b06e2dd8d0ea50dc8e8ef5211309d6acc81b950365046,256,512,8,9,190,,1186,7,16,210,,256,256
C20,run:research-sp51-c20-native-r0;artifact:research/runs/research-sp51-c20-native-r0.json;sha256:63cea82c521a4beb357556dd0a48ccb1e51413c7b416a4bebe4fd5d82b0779cc,4096,4096,,,12,,,,,,,,
C30,run:research-sp52-c30-native;artifact:research/runs/research-sp52-c30-native.json;sha256:28bc2e22dabb858f83e0a36efabf714dbfe602edb506545833642cfe7fa51207,4096,4096,,,1,,,,,,,,
C00/v03-baseline,run:v03-corpus-01;artifact:research/runs/v03-corpus-01.json;sha256:7de3a5a3b01e09ec06e9394ff4e46c9f5a3ca1adbec619a81f236c8f7561b69f,256,256,8,9,190,,1186,7,16,210,,244,12
