candidate_id,run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas
V2,research-sp31-v2-isolated-benchmark,checkedWitnessGas,857,,,,,,,,,,,
V2,research-sp31-v2-isolated-benchmark,exponentiationGas,9353,,,,,,,,,,,
V3,research-sp31-v3-isolated-benchmark,fusedParseDotGas,210353,,,,,,,,,,,
V3,research-sp31-v3-isolated-benchmark,separateParseDotGas,849780,,,,,,,,,,,
V4,research-sp31-v4-isolated-benchmark,calldataEvaluationGas,127811,,,,,,,,,,,
V4,research-sp31-v4-isolated-benchmark,copiedEvaluationGas,663476,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,checkedCalldataTableGas,89183,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,derivedTableGas,3028,,,,,,,,,,,
V5,research-sp31-v5-isolated-benchmark,fixedTableGas,8652,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,checkedPointsGas,21451,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,exponentiationGas,48640,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,fixedTable8Gas,1748,,,,,,,,,,,
V6,research-sp31-v6-isolated-benchmark,incrementalGas,5005,,,,,,,,,,,
V7,research-sp31-v7-isolated-benchmark,exactFrontierGas,257975,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,packed31Bytes,992,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,section31Gas,238092,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,u32Bytes,1024,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,unpack31Gas,237632,,,,,,,,,,,
V8,research-sp31-v8-isolated-benchmark,unpack32Gas,175167,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.10.maxGas,13623798,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.12.maxGas,14046222,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.13.maxGas,14257434,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.14.maxGas,14468646,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.15.maxGas,14679858,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.16.maxGas,14891070,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airA.8.maxGas,14046069,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.10.maxGas,16487292,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.12.maxGas,16064868,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.13.maxGas,15853656,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.14.maxGas,15642444,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.15.maxGas,15431232,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.16.maxGas,15220020,,,,,,,,,,,
V9,research-sp31-v9-isolated-benchmark,airB.8.maxGas,16909716,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op0/n1,13981,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op1/n1,9050,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op10/n1,2553679,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op11/n1,271721,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op12/n1,12066,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n128,1215869,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n256,2439252,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n32,310468,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op13/n64,611112,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op14/n16,42700,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op14/n32,68859,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op14/n64,121224,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op15/n16,3324262,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op15/n32,4095719,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op15/n64,5647059,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op16/n64,1356069,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op17/n2,59078,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op18/n1,5086,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op19/n1,4059,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op2/n1,9012,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op3/n1,8962,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op4/n1,14788,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op5/n1,11308,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op6/n1,13062,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op7/n1,13446,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op8/n1,23926,,,,,,,,,,,
F0,research-sp40-f0-field-benchmark,F0/op9/n1,23949,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op0/n1,9279,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op1/n1,9364,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op10/n1,2776082,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op11/n1,272430,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op12/n1,12380,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op13/n128,1238710,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op13/n256,2484621,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op13/n32,316414,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op13/n64,622689,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op14/n16,43365,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op14/n32,69876,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op14/n64,122945,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op15/n16,3550152,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op15/n32,4325073,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op15/n64,5883336,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op16/n64,1366348,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op17/n2,59921,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op18/n1,5159,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op19/n1,4129,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op2/n1,9326,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op3/n1,9275,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op4/n1,15102,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op5/n1,11620,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op6/n1,13376,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op7/n1,13759,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op8/n1,24240,,,,,,,,,,,
F1,research-sp40-f1-field-benchmark,F1/op9/n1,24261,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op0/n1,10539,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op1/n1,10622,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op10/n1,5165942,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op11/n1,407508,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op12/n1,14165,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op13/n128,1477684,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op13/n256,2968320,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op13/n32,376506,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op13/n64,741967,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op14/n16,44978,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op14/n32,71842,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op14/n64,125616,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op15/n16,6314701,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op15/n32,7465631,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op15/n64,9779777,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op16/n64,1931188,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op17/n2,73713,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op18/n1,5233,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op19/n1,4200,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op2/n1,10584,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op3/n1,10535,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op4/n1,16360,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op5/n1,12880,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op6/n1,15434,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op7/n1,15910,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op8/n1,32981,,,,,,,,,,,
F2,research-sp40-f2-field-benchmark,F2/op9/n1,33004,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op0/n1,7926,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op1/n1,8010,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op10/n1,1237993,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op11/n1,109067,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op12/n1,9971,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op13/n128,848171,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op13/n256,1694334,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op13/n32,218628,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op13/n64,427992,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op14/n16,48918,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op14/n32,76132,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op14/n64,130607,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op15/n16,1559510,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op15/n32,1879835,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op15/n64,2523365,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op16/n64,645867,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op17/n2,53669,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op18/n1,5306,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op19/n1,4270,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op2/n1,7972,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op3/n1,7922,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op4/n1,19952,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op5/n1,10266,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op6/n1,10421,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op7/n1,10623,,,,,,,,,,,
F3,research-sp40-f3-field-benchmark,F3/op8/n1,13699,,,,,,,,,,,
