candidate_id,run_id,hardware_id,threads,cold_or_warm,wall_ms,cpu_ms,peak_rss_bytes,proof_bytes,native_verify_ms,success
C00/v03-baseline,v03-fixed-09,macnch33z3.local-arm64,16,WARM,682.6057079888415,,31293440,207084,2.316,true
C00/v03-baseline,v03-fixed-10,macnch33z3.local-arm64,16,WARM,608.1650000123773,,29360128,212332,2.2374169999999998,true
C00/v03-baseline,v03-fixed-11,macnch33z3.local-arm64,16,WARM,1115.2789169864263,,30572544,207532,2.268416,true
C00/v03-baseline,v03-fixed-12,macnch33z3.local-arm64,16,WARM,628.9151660166681,,29294592,209260,2.1514580000000003,true
C00/v03-baseline,v03-fixed-13,macnch33z3.local-arm64,16,WARM,478.36979100247845,,28508160,210668,2.12025,true
C00/v03-baseline,v03-fixed-14,macnch33z3.local-arm64,16,WARM,397.3851249902509,,28360704,204140,2.130458,true
C00/v03-baseline,v03-fixed-15,macnch33z3.local-arm64,16,WARM,654.6709170215763,,29229056,207788,2.121458,true
C00/v03-baseline,v03-fixed-16,macnch33z3.local-arm64,16,WARM,794.0170830115676,,30851072,210988,2.1555,true
C00/v03-baseline,v03-fixed-17,macnch33z3.local-arm64,16,WARM,491.80920800426975,,29900800,207084,2.2039590000000002,true
C00/v03-baseline,v03-fixed-18,macnch33z3.local-arm64,16,WARM,581.7908750032075,,29999104,211692,2.177292,true
C00/v03-baseline,v03-fixed-19,macnch33z3.local-arm64,16,WARM,496.1828750092536,,28639232,201836,2.115709,true
C00/v03-baseline,v03-fixed-20,macnch33z3.local-arm64,16,WARM,687.9920829960611,,31653888,201196,2.532458,true
C00/v03-baseline,v03-fixed-21,macnch33z3.local-arm64,16,WARM,718.2954160089139,,28508160,213740,2.356917,true
C00/v03-baseline,v03-fixed-22,macnch33z3.local-arm64,16,WARM,743.8496249960735,,28459008,209452,2.1244169999999998,true
C00/v03-baseline,v03-fixed-23,macnch33z3.local-arm64,16,WARM,763.9330000092741,,28983296,207020,2.1112499999999996,true
C00/v03-baseline,v03-fixed-24,macnch33z3.local-arm64,16,WARM,783.8042920047883,,29884416,202924,2.154625,true
C00/v03-baseline,v03-fixed-25,macnch33z3.local-arm64,16,WARM,468.240957998205,,29523968,207972,2.162,true
C00/v03-baseline,v03-fixed-26,macnch33z3.local-arm64,16,WARM,369.18120802147314,,29425664,210796,2.1888340000000004,true
C00/v03-baseline,v03-fixed-27,macnch33z3.local-arm64,16,WARM,485.9876249975059,,30130176,204524,2.117916,true
C00/v03-baseline,v03-fixed-28,macnch33z3.local-arm64,16,WARM,1066.4500839775428,,29491200,212588,2.251333,true
C00/v03-baseline,v03-fixed-29,macnch33z3.local-arm64,16,WARM,382.58362500346266,,30392320,206444,2.1002080000000003,true
C00/v03-baseline,v03-fixed-30,macnch33z3.local-arm64,16,WARM,348.4505829983391,,29655040,206828,2.181292,true
