classification,price_provenance,network,payload_family,payload_kib,scenario_id,l1_base_fee_wei,l1_blob_base_fee_wei,l2_base_fee_wei,op_l1_base_fee_scalar,op_l1_blob_fee_scalar,op_da_footprint_gas_scalar,arbitrum_price_per_unit_wei,scroll_exec_scalar,scroll_blob_scalar,estimator_status,fastlz_size_bytes,op_estimated_size_scaled,op_da_footprint_gas,execution_fee_wei,l1_data_fee_wei,operator_fee_wei,total_fee_wei
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,12724983984795311,0,12798912984795311
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,12724983991953114,0,12798912991953114
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,38174951952079531,0,38248880952079531
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,38174951952795311,0,38248880952795311
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,38174951959953114,0,38248880959953114
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,127249839840079531,0,127323768840079531
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,127249839840795311,0,127323768840795311
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,90,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,95127,79531149900,31812400,73929000000000,127249839847953114,0,127323768847953114
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,1555195246497199,0,1645481246497199
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,1555195247371997,0,1645481247371997
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,1555195256119970,0,1645481256119970
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,15551952464097199,0,15642238464097199
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,15551952464971997,0,15642238464971997
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,15551952473719970,0,15642238473719970
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,46655857392097199,0,46746143392097199
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,46655857392971997,0,46746143392971997
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,46655857401719970,0,46746143401719970
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,155519524640097199,0,155609810640097199
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,155519524640971997,0,155609810640971997
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,110,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,116249,97199702900,38879600,90286000000000,155519524649719970,0,155609810649719970
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,1639929350502495,0,1735108350502495
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,1639929351424955,0,1735108351424955
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,1639929360649558,0,1735108360649558
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,16399293504102495,0,16494472504102495
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,16399293505024955,0,16494472505024955
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,16399293514249558,0,16494472514249558
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,49197880512102495,0,49293059512102495
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,49197880513024955,0,49293059513024955
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,49197880522249558,0,49293059522249558
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,163992935040102495,0,164088114040102495
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,163992935041024955,0,164088114041024955
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,116,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,122580,102495584400,40998000,95179000000000,163992935050249558,0,164088114050249558
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,1696449982506028,0,1794898582506028
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,1696449983460281,0,1794898583460281
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,1696449993002812,0,1794898593002812
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,16964499824106028,0,17062948424106028
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,16964499825060281,0,17062948425060281
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,16964499834602812,0,17062948434602812
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,50893499472106028,0,50991948072106028
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,50893499473060281,0,50991948073060281
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,50893499482602812,0,50991948082602812
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,169644998240106028,0,169743446840106028
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,169644998241060281,0,169743446841060281
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,120,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,126803,106028123900,42411200,98448600000000,169644998250602812,0,169743446850602812
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,1809518014513094,0,1914513614513094
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,1809518015530948,0,1914513615530948
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,1809518025709487,0,1914513625709487
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,18095180144113094,0,18200175744113094
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,18095180145130948,0,18200175745130948
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,18095180155309487,0,18200175755309487
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,54285540432113094,0,54390536032113094
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,54285540433130948,0,54390536033130948
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,54285540443309487,0,54390536043309487
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,180951801440113094,0,181056797040113094
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,180951801441130948,0,181056797041130948
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,128,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,135251,113094875900,45237600,104995600000000,180951801451309487,0,181056797051309487
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,2261749990541359,0,2392892190541359
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-1gwei-blob-10wei,1000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,2261749991813593,0,2392892191813593
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-1gwei-blob-100wei,1000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,2261750004535937,0,2392892204535937
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-10gwei-blob-1wei,10000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,22617499904141359,0,22748642104141359
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-10gwei-blob-10wei,10000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,22617499905413593,0,22748642105413593
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-10gwei-blob-100wei,10000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,22617499918135937,0,22748642118135937
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-30gwei-blob-1wei,30000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,67852499712141359,0,67983641912141359
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-30gwei-blob-10wei,30000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,67852499713413593,0,67983641913413593
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-30gwei-blob-100wei,30000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,67852499726135937,0,67983641926135937
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-100gwei-blob-1wei,100000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,226174999040141359,0,226306141240141359
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-100gwei-blob-10wei,100000000000,10,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,226174999041413593,0,226306141241413593
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,160,l1-100gwei-blob-100wei,100000000000,100,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,169040,141359374400,56543600,131142200000000,226174999054135937,0,226306141254135937
PROJECTION,SYNTHETIC_OFFLINE_INPUT_NOT_LIVE,op-mainnet,seeded-incompressible,210,l1-1gwei-blob-1wei,1000000000,1,20000000,1000000,1000000,400,1000000000,1000000000,1000000000,EVALUATED_PINNED_FASTLZ,221824,185513190400,74205200,171933000000000,2968211046585513,0,3140144046585513
