network,chain_id,payload_family,payload_kib,calldata_bytes,payload_sha256,payload_keccak256,calldata_zero_bytes,calldata_nonzero_bytes,eip7623_tokens,regular_intrinsic_gas,eip7623_floor_gas,no_op_calldata_gas,tx_type,tx_nonce,tx_gas_limit,signed_tx_bytes,signed_tx_keccak256,ordinary_sequencer_size_limit_bytes,admission_projection,gas_limit_feasibility,verifier_execution
op-mainnet,10,repeated,110,112640,e4898be1313e31ca9c29c5180045f278249fc04787b411cafba0fadf56c8d5e5,0xe030d703efe64f78799cbb283fbff2d3f5bf1df0296f65b927ad41f7fa2a4d5d,0,112640,450560,1823240,4526600,4526600,EIP-1559_TYPE_2,7,16777216,112757,0x72708bfaeb3ff4137b94df34e9cd12f154729df45f6c8d184bcc07a13df4c2ee,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,116,118784,80eb5788d6fda8531ebc10417bf7ffb8b59289e10bad6b5ef2236e03e042288c,0x5ef2a3496687f4943acbc8234c5ea13530e3427d1d13a390e57e4371b3dc0778,0,118784,475136,1921544,4772360,4772360,EIP-1559_TYPE_2,7,16777216,118901,0x174486ac44b6f8e09f2ec9e681f068e716fed14b6c150d7ebb105c8f97b33697,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,120,122880,1c716ab25e8ee58743a20722c0d18d90b82cd00d93b27c4546ea57574db16863,0xec0e080ea146ac6ca60dbef9f2248b74b8ed601f81b801f44f1daebcf90ee503,0,122880,491520,1987080,4936200,4936200,EIP-1559_TYPE_2,7,16777216,122997,0xaa4682c0ac962773fcde1849a3c38f70d3d6bb761f9694fc54769058fcf7c82f,131072,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,128,131072,63e7d6d678eff71c3764a45a3b1f1407e202330f3c10505696c96ed816584286,0x1726d8456023b45daca054c937a365a72de9d3d31babd1369ec1ac147cd1525f,0,131072,524288,2118152,5263880,5263880,EIP-1559_TYPE_2,7,16777216,131189,0x328d538f4655448e46c6b1a9ca6f1f99dce1fdc5ad54a0cce17ebd6333698691,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,160,163840,b3bf181efa6f3a2aa1a5fa0bff97d03df60b1af70378504c5edc67e75ffd71bd,0x7b424d8353c0a0258cf55969c6a0a43f6cb3466d401009e30290551fae623a6d,0,163840,655360,2642440,6574600,6574600,EIP-1559_TYPE_2,7,16777216,163957,0x1583976cc1b25fe1063c869b72c078a3ec28eeea64c287beeeddb8145752e867,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
op-mainnet,10,repeated,210,215040,d793b0f5fe1c567ad11eec2623e5bd8beec845fb7270e0fa28345bf3c3427d8c,0x8d00fcfbced010a80d8c3962d478c822602f25401cdfa6b0be3d9158e415c5e9,0,215040,860160,3461640,8622600,8622600,EIP-1559_TYPE_2,7,16777216,215157,0x712e360bc8dc69cf2a37301ca480fb2d32bf596c0ae86e22280009c91fc14fb5,131072,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,80,81920,00cb44f9a123a5c28bed5a320d03b6ebf8e6cccbdb580de54bf424211e2fcfa4,0x4212dadf98ea3db39bdb3bd56577f2ec29f3dabc396b09f7aedeaccb36a6e8e9,307,81613,326759,1328036,3288590,3288590,EIP-1559_TYPE_2,7,32000000,82039,0x4292cdde5c801e2d089825651d3170e5906e4431b4b8a9e290fc16a5f3b875a3,95000,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,90,92160,1150df739d4d09dc265e1e44f58fdcc2017e3a6a80cbf4006754ea56836eb159,0xf93741cf2d2e95d9fe4f19b1884be50eb644359136053239e8d64e20eca635e8,365,91795,367545,1491180,3696450,3696450,EIP-1559_TYPE_2,7,32000000,92279,0xc9eb6aacb38db903b3c6527a94c01ec10e931910c8e02e940c84102f25cb854e,95000,PROJECTED_SIZE_ADMISSIBLE,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,110,112640,7a426adfd5e6c9c9810a83b6b3ea5b5576432683369e671c39533ad514b64318,0x301e2e9703a1128e3df5fd1e8e2a9d54a1179bb931ec905d2e7f0452e23b3afa,410,112230,449330,1818320,4514300,4514300,EIP-1559_TYPE_2,7,32000000,112759,0x89c0b18349f24047c02a8a034d34f8818aa8bed05efa06a1488ee6256e0dfe07,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,116,118784,f12ffa932f5799ca7a258be28f9e96401880c29d343ce627c5be7678d6f90d68,0x685c7e34017d2a33819edb013fc2a308dcd63004ce61c1c75d316044b52176c9,447,118337,473795,1916180,4758950,4758950,EIP-1559_TYPE_2,7,32000000,118903,0x6e5fa85f93243d37975d3da797a679c617f33b299a684c19d4205ac00fec9579,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
arbitrum-one,42161,seeded-incompressible,120,122880,84bfbcff42157a456c2be8cfcd0c0a6988274e9b41746a0f7f0ae060caacdb66,0x82312c4adf39f3f4acb09e19b227a4160692007c820d5e7ad2216d61524dcd80,459,122421,490143,1981572,4922430,4922430,EIP-1559_TYPE_2,7,32000000,122999,0xf50eb74cc30687338011434337b1fd9529579dcbe16d60bc79181a9027efb17f,95000,PROJECTED_SIZE_REJECTED,PROJECTED_NO_OP_GAS_LIMIT_FEASIBLE,NOT_EVALUATED_NO_LOCAL_VERIFIER_RECEIPT
