hardware_profile,run_id,kind,case_id,network,implementation,abi_calldata_bytes,calldata_zero_bytes,calldata_nonzero_bytes,eip7623_floor_gas,source_measured_total_gas,ordinary_sequencer_size_limit_bytes,size_feasibility,tx_gas_limit_model,gas_limit_feasibility,combined_ordinary_admission_projection,pqtc_l2_receipt_evidence
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,op-mainnet,evm-a,209928,1324,207936,8351680,16666224,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,op-mainnet,evm-b,209928,1324,207936,8351680,13984624,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,arbitrum-one,evm-a,209928,1324,207936,8351680,16666224,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,arbitrum-one,evm-b,209928,1324,207936,8351680,13984624,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,scroll-mainnet,evm-a,209928,1324,207936,8351680,16666224,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-03,semantic-corpus,swc-v1-002,scroll-mainnet,evm-b,209928,1324,207936,8351680,13984624,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,op-mainnet,evm-a,208648,1331,206649,8300270,16616096,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,op-mainnet,evm-b,208648,1331,206649,8300270,13929083,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,arbitrum-one,evm-a,208648,1331,206649,8300270,16616096,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,arbitrum-one,evm-b,208648,1331,206649,8300270,13929083,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,scroll-mainnet,evm-a,208648,1331,206649,8300270,16616096,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-04,semantic-corpus,swc-v1-003,scroll-mainnet,evm-b,208648,1331,206649,8300270,13929083,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,op-mainnet,evm-a,209608,1338,207602,8338460,16506661,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,op-mainnet,evm-b,209608,1338,207602,8338460,14123963,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,arbitrum-one,evm-a,209608,1338,207602,8338460,16506661,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,arbitrum-one,evm-b,209608,1338,207602,8338460,14123963,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,scroll-mainnet,evm-a,209608,1338,207602,8338460,16506661,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-05,semantic-corpus,swc-v1-004,scroll-mainnet,evm-b,209608,1338,207602,8338460,14123963,116736,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,10000000,PROJECTED_INFEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-06,semantic-corpus,swc-v1-005,op-mainnet,evm-a,213704,1368,211668,8501400,16708707,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-06,semantic-corpus,swc-v1-005,op-mainnet,evm-b,213704,1368,211668,8501400,14108324,131072,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,16777216,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-06,semantic-corpus,swc-v1-005,arbitrum-one,evm-a,213704,1368,211668,8501400,16708707,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
H1_LOCAL_APPLE_M4_MAX_MEASURED_SOURCE,v03-corpus-06,semantic-corpus,swc-v1-005,arbitrum-one,evm-b,213704,1368,211668,8501400,14108324,95000,REJECTED_SOURCE_PROVEN_CALLDATA_ALONE_EXCEEDS_SIGNED_TX_LIMIT,32000000,PROJECTED_FEASIBLE_FROM_SOURCE_TOTAL,PROJECTED_REJECTED_SIZE,NOT_EVALUATED_NO_SELECTED_L2_VERIFIER_RECEIPT
