candidate_id,q,log_blowup,regime,model,target_bits,achieved_bits,m,status,query_search,count_basis,num_batched_functions,security,conditions
R2-C0,111,3,no-Johnson-UDR,r2-full-objective-v1,100,100.06883508,,TARGET_MET_CONDITIONALLY,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
R2-C0,63,3,conditional-Johnson-full-objective,r2-full-objective-v1,100,87.34082875835226,3,TARGET_UNREACHABLE_IN_DECLARED_SWEEP,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
R2-C0,101,4,no-Johnson-UDR,r2-full-objective-v1,100,99.292640868,,TARGET_UNREACHABLE_IN_DECLARED_SWEEP,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
R2-C0,44,4,conditional-Johnson-full-objective,r2-full-objective-v1,100,84.84082875835226,3,TARGET_UNREACHABLE_IN_DECLARED_SWEEP,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
R2-C0,95,5,no-Johnson-UDR,r2-full-objective-v1,100,98.292640868,,TARGET_UNREACHABLE_IN_DECLARED_SWEEP,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
R2-C0,33,5,conditional-Johnson-full-objective,r2-full-objective-v1,100,82.34082875835226,3,TARGET_UNREACHABLE_IN_DECLARED_SWEEP,"[1, 256]",declared,210,SECURITY_NOT_QUALIFIED,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]"
