regime,transaction,gas,status,record_path,evidence
Prague-diagnostic-AIR,0x727ebba4c8a456d3f606de0990cfc662508084201b4052e7516800807544b014,33430153,1,/evaluation_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C1-whole-round/air-cost-results.json
Prague-diagnostic-AIR,0x41b7e8cc1fa40800a372ab212173a4f75c8edd2128666ee823a4c9be79fd3e5d,514613,1,/deployment_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C2-horizontal/air-cost-results.json
Prague-diagnostic-AIR,0x4fa1739da471db1a2fedb75895c6eb96c7154c5ebdf9904b475f091d503968c6,85093629,1,/evaluation_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C2-horizontal/air-cost-results.json
Prague-diagnostic-AIR,0x2af6576ad791803d2abe94ba91007b02859be3feaf8a00c8b374e3dadd92ca19,514613,1,/deployment_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-decomposed/air-cost-results.json
Prague-diagnostic-AIR,0xcc5659b0797f302e0d23def1028d85a1f30f1854e978d49bd3d53dfd11c75cf5,49640090,1,/evaluation_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-decomposed/air-cost-results.json
Prague-diagnostic-AIR,0xa944f717f952808b66b2c39f1574a5de181a08e82550452127a1b96ec6a6520a,514601,1,/deployment_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-lanes4/air-cost-results.json
Prague-diagnostic-AIR,0xfffbb348f36a01d4a04519b24714cfc31b8918e26e7178677e42a98a3d22f7e1,53993833,1,/evaluation_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-lanes4/air-cost-results.json
Prague-diagnostic-AIR,0x203cdb5afaa9543c38da7b4cc962948f2b25f3d9587db6175a2817dd1ba6af41,514613,1,/deployment_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-whole-round/air-cost-results.json
Prague-diagnostic-AIR,0x98198cc969dda0b364a001ac8a6a22c84cf6083bb781d2745b40cab5dd97617f,48067337,1,/evaluation_receipt,research/r2/air/outputs/resume-diagnostic2-cost-C3-whole-round/air-cost-results.json
Osaka-component-gas-02,0xb9a425586272edd0581e826c8fe76703b6038270009c71c5e10c2c78bc647e1f,3267770,1,/0/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xa2d51a64c6bdc8ab1fc42277533afcf03edd4bb99cd99795841b04f5d82c07b5,3113617,1,/0/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x266daf4ed5bc5d7ddab343ff3a58ed42e82386d5d065d8ff95a95b41fe420474,5248500,1,/1/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xda91e8ff22d5e339d4693b6f773f404c3091f7ffa369b3a5d2db435c7f3464d4,3814550,1,/1/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xb3f452bb58d7b4b3f58ae2fa00200b7203d2a677bf41c96dd17b441cf1168f4b,5248470,1,/1/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x9b3c97b3708e4269440817535927abcf9b20a854555e0fa62cb0f16e9e69993e,3814520,1,/1/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x0fef13c750d808c7d1d167d56e9cb3ddb8396d38be557830ff5f1ecf773b0e6f,3264269,1,/2/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x246d5d994fc997a4ce825675654fc275bea59a10bd90c4e7db444cb444c827b7,3112361,1,/2/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xb2c6a27a8df1334fb94eb95b5e2374a76be5beb39f5a587b903744dae95885ed,5250150,1,/3/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xb3fcad2363088fbf1b5436e58594bd0cb69a791b9c82b3f2484ad8cbe81894a4,3442920,1,/3/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x5ef2d004fcc0b0b547c2e8b04b7f25f3bb3fa04e2c2872721d20d30d652d97a6,5250120,1,/3/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x59ba91680bc4a13488a34206dfa2dd065728b421bf8aac2395bbf51f0b1fd6c8,3442890,1,/3/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xbbf8cda4a3fe211b217627057acb964b7e21a204a2cff4c330169c5cc88cf0ef,3268538,1,/4/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x5181dbf4c2f0bd6010cb9f2526a402ab01ba74c81fcbdbf6c61168f3abc9385a,3113805,1,/4/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xcc2aa6f02b5dba5a0dea14452f7280d98ecc0aacc6726ec3f237bc7d1e154e63,5250330,1,/5/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x9b44cf1f54020e7d5fa983d8e58aeede433a1d6bcb4129ae852487be79feb740,2085050,1,/5/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x6f49aedf031b071cf698ad30b685f7930e7553b66e44793efdd223e1af305931,5250300,1,/5/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xe9387998f7704b57586323fbbd2002e3fb0a4db93db9d524350d282e1ccb1a6c,2085020,1,/5/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x987d404a1cf68896be0f6062fb6e39918f4f6f9449b1ae7920f804b38b74858e,3265772,1,/6/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x025bc8f10c329aba32ee37635632af1c764d4767fbc7a0bfb568c69ee72788e3,3113017,1,/6/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x2bed1039254bcb58e15f944a5a074d455030a5e125604deac840a7bb3ede3659,5248980,1,/7/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x3efb5bf2c9cc768f3af644589e432197f4bba5f241c4e84b188850381b46970a,2452340,1,/7/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xbf87eb6ffda02d076290699d11388551b0581d2b3fcc465ac9c03ba26b8b6df7,5248950,1,/7/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x5a55856298c00ebd45b38d25df562344922d02950beaa56a4eef8441d41050af,2452310,1,/7/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xde9f2d27e84ab9347fd81c980808cf6fe6c1cc381d6f392952629730173ebbd6,4888766,1,/8/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x34bc31c8c87c5f0b31f71ef67f24e7995d285a8d19d42cce4c22ea4355461f40,4658933,1,/8/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x72f8d695b2240dedd639983a166b9cb427bd2e463a3758094fa60ba6421ed818,5249340,1,/9/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x5c3390dfb45798047e6501f4f3e9d9cda46ade79c6f72ab648780b16db37c590,4892440,1,/9/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xa95e53d582a3cd99406e6bf9ad093d160affe57b8fc441c43c872913b070f325,5249310,1,/9/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x861a6a506f1785b8dd63251b449ea0e955fc9d9a92fba4703e8905244bb316e3,4892410,1,/9/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x2fb8705144260c216b808c03498ba6d402d7336075a5dfcc7e18d445c0ee8016,4888622,1,/10/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xfe41ebd8687706d0f2f00296b20c215e7f5cb1f01b74cbeec725c66a9215b864,4658221,1,/10/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xc3028d0527a1c363ea24f04aaa1668992cc1bc5ed7eee2873cf6f903e97713b6,5249400,1,/11/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xb76e8c1645d36c7d50a3a5dc45c3b274054055ff89e3e2b77e9c6ef35bc6c3be,4907110,1,/11/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xae9220697461c33e6a2e972224c3f45081a041ceac9403e96699e570545c53bf,5249370,1,/11/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0xd4088e5b2f74a806d1fafab70cacf1b788cae9e71e16249a7e26679762c61e6a,4907080,1,/11/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x6c0ac7a3bd7939eec32c0d973faa0cff57d7e45a0055d6cf21614783e3170216,4890140,1,/12/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x77c62f7341b0dfe0e6cb2e1ec96ea75f25c9a36389c13b20bcf281bf2e802d55,4660157,1,/12/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x0a753563c2a30737d47f6ffa43d3565cb29e674817e546c58f82bf482fb85028,5249520,1,/13/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x2d8be574d6111cbe498d0bde11889adb29a6cdf2302ff40eeca4dea47cb4c5e2,5250180,1,/13/observations/0/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x2d67bae780be4ce3910ebab1e501012a5de99ce46089cfbe8bf927795c61e7ff,1038180,1,/13/observations/0/chunks/2/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x4ca44a095c33152b843efaf17a2f38f623e0bfd0be164096ece143171172d2e3,5249490,1,/13/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x7abe39e83f0da88b216d779ca94ba595cbeb8b12be00853e10744062b425010c,5250150,1,/13/observations/1/chunks/1/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x42bd44ec13dc451d1b5e395fdf850930bae7b0aee6a1b2b4fd7719c872159924,1038150,1,/13/observations/1/chunks/2/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x3e0be95addcad83b2228e982205db51d51e0920f9dbecc9c0bdf33170ea718f0,4888451,1,/14/observations/0/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
Osaka-component-gas-02,0x85aaf36ec474d3fe545c2b235ca18add2f7c595e814fb56ee1da4c9d7d8c7dbc,4659717,1,/14/observations/1/chunks/0/receipt,research/r2/models/outputs/resume-component-gas-02/samples.json
