regime,transaction,kind,component,gas,receipt_success,evidence
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,compiler_shared_or_unmapped,2821,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,constructor_hashing,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,constructor_storage,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,fri_arithmetic,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,inverse_calculations,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,mmcs_hashing_paths,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,nullifier_write,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,ood_quotient,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,other_state,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,parse_canonicality,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,payout_calls,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,public_statement,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,row_reductions,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,transcript_challenges,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,standard_intrinsic,258706,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,code_deposit,2597800,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,exclusive_receipt_component,reconciliation_residual,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0xfdaef51d28fda2f7ef8a47486fb94c218099cca759d2136da1782d37a79f5e35,total_not_additive,receipt_gas,2859327,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,air_evaluation,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,alpha_opening_aggregates,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,checkpoint_storage_deletion,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,compiler_shared_or_unmapped,3666,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,constructor_hashing,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,constructor_storage,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,fri_arithmetic,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,inverse_calculations,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,mmcs_hashing_paths,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,nullifier_write,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,ood_quotient,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,other_state,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,parse_canonicality,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,payout_calls,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,public_statement,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,row_reductions,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,transcript_challenges,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,standard_intrinsic,266074,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,code_deposit,2624400,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,exclusive_receipt_component,reconciliation_residual,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x4c1c3f3e266784055b535eaf4a0663928c833830db7a658797aef1e3614945f9,total_not_additive,receipt_gas,2894140,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,air_evaluation,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,alpha_opening_aggregates,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
capped-create,0x1c70e37c3f7aa4796934442deb489542f39fc425a5a746df355be3d9e00cda0b,exclusive_receipt_component,checkpoint_storage_deletion,0,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/deployment-results.json
